insurer,lob,vehicle_type,policy_type,policy_term,coverage_level,coverage_name,claim_category,claim_trigger,frequency_band,severity_band,avg_claim_amount_inr,max_claim_amount_inr,deductible_applicable,depreciation_applicable,ncb_impact,renewal_impact,fraud_risk_level,loss_ratio_risk,mandatory_documents,common_denial_reasons,profitability_tag,claim_frequency,loss_ratio,pure_premium,risk_loading_factor,volatility_index,risk_zone,state,city,flood_risk_score,theft_risk_score,accident_density_score,avg_settlement_days,fast_track_eligible,cashless_ratio,document_deficiency_rate,repudiation_rate
ACKO,Motor,Motor Trade Internal Risk,Package,Annual,Addon,EV Addon,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.5,Urban,Gujarat,Bangalore,0.59,0.44,0.78,14,False,0.78,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Package,Annual,Addon,EMI Protector,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.45,Rural,Gujarat,Mumbai,0.63,0.26,0.35,9,False,0.53,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Package,Annual,Addon,Loss of Use,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.36,Rural,Tamil Nadu,Mumbai,0.35,0.59,0.75,8,False,0.67,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Package,Annual,Addon,Key Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.4,Urban,Tamil Nadu,Ahmedabad,0.72,0.62,0.31,12,False,0.51,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Package,Annual,Addon,Personal Belongings,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.67,Metro,Maharashtra,Ahmedabad,0.37,0.58,0.49,14,False,0.84,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Base,Own Damage,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.36,Metro,Gujarat,Delhi,0.9,0.3,0.33,13,False,0.56,0.25,0.03
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Base,Third Party,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.62,Rural,Karnataka,Delhi,0.62,0.22,0.87,7,False,0.82,0.25,0.03
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Base,Personal Accident,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.23,Urban,Maharashtra,Bangalore,0.86,0.49,0.44,14,False,0.51,0.25,0.03
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Addon,Zero Depreciation,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.61,Metro,Maharashtra,Bangalore,0.67,0.76,0.61,9,False,0.74,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Addon,Engine Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.48,Rural,Karnataka,Chennai,0.76,0.33,0.8,14,False,0.54,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Addon,Gearbox Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.32,Urban,Delhi,Mumbai,0.68,0.42,0.72,13,False,0.63,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Addon,Consumables,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.66,Rural,Maharashtra,Mumbai,0.48,0.34,0.58,7,False,0.6,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Addon,Tyre Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.2,Urban,Maharashtra,Mumbai,0.5,0.79,0.36,9,False,0.52,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Addon,Roadside Assistance,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.57,Metro,Tamil Nadu,Mumbai,0.76,0.67,0.52,12,False,0.82,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Addon,NCB Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.43,Rural,Tamil Nadu,Mumbai,0.71,0.69,0.58,9,False,0.64,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Addon,Return to Invoice,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.47,Metro,Karnataka,Mumbai,0.49,0.78,0.38,8,False,0.79,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Addon,Invoice Cover,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.34,Urban,Gujarat,Ahmedabad,0.41,0.29,0.72,10,False,0.8,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Addon,PAYD Benefit,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.26,Metro,Gujarat,Mumbai,0.58,0.79,0.57,8,False,0.57,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Addon,EV Addon,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.51,Rural,Gujarat,Delhi,0.62,0.28,0.69,13,False,0.8,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Addon,EMI Protector,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.29,Metro,Gujarat,Mumbai,0.61,0.51,0.41,12,False,0.62,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Addon,Loss of Use,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.38,Metro,Maharashtra,Bangalore,0.3,0.64,0.39,8,False,0.6,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Addon,Key Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.67,Urban,Delhi,Mumbai,0.4,0.52,0.57,11,False,0.68,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Bundled,Annual,Addon,Personal Belongings,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.46,Urban,Maharashtra,Bangalore,0.86,0.22,0.68,14,False,0.81,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Base,Own Damage,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.69,Urban,Tamil Nadu,Chennai,0.32,0.46,0.36,12,False,0.54,0.25,0.03
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Base,Personal Accident,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.45,Metro,Tamil Nadu,Ahmedabad,0.68,0.6,0.57,13,False,0.58,0.25,0.03
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Addon,Zero Depreciation,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.59,Urban,Karnataka,Mumbai,0.53,0.3,0.5,13,False,0.54,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Addon,Engine Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.26,Urban,Gujarat,Chennai,0.34,0.71,0.72,8,False,0.51,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Addon,Gearbox Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.39,Metro,Delhi,Mumbai,0.8,0.5,0.6,7,False,0.57,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Addon,Consumables,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.39,Urban,Maharashtra,Chennai,0.63,0.8,0.83,14,False,0.67,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Addon,Tyre Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.66,Urban,Delhi,Ahmedabad,0.61,0.69,0.37,11,False,0.57,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Addon,Roadside Assistance,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.63,Metro,Tamil Nadu,Ahmedabad,0.52,0.31,0.51,7,False,0.78,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Addon,NCB Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.29,Urban,Maharashtra,Chennai,0.41,0.62,0.48,9,False,0.67,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Addon,Return to Invoice,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.54,Metro,Karnataka,Chennai,0.84,0.74,0.81,9,False,0.81,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Addon,Invoice Cover,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.41,Rural,Maharashtra,Ahmedabad,0.51,0.2,0.84,14,False,0.56,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Addon,PAYD Benefit,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.34,Metro,Tamil Nadu,Chennai,0.38,0.48,0.73,10,False,0.66,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Addon,EV Addon,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.68,Rural,Gujarat,Ahmedabad,0.53,0.45,0.46,13,False,0.64,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Addon,EMI Protector,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.65,Rural,Gujarat,Ahmedabad,0.5,0.5,0.83,13,False,0.58,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Addon,Loss of Use,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.63,Urban,Gujarat,Delhi,0.57,0.63,0.52,7,False,0.64,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Addon,Key Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.68,Rural,Delhi,Mumbai,0.34,0.7,0.85,11,False,0.66,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Standalone Own Damage,Annual,Addon,Personal Belongings,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.53,Metro,Tamil Nadu,Chennai,0.31,0.54,0.66,8,False,0.82,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Liability Only,Annual,Base,Third Party,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.26,Urban,Karnataka,Ahmedabad,0.77,0.25,0.55,14,False,0.73,0.25,0.03
ACKO,Motor,Motor Trade Internal Risk,Liability Only,Annual,Base,Personal Accident,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.25,Metro,Maharashtra,Ahmedabad,0.49,0.66,0.7,10,False,0.77,0.25,0.03
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Base,Own Damage,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.36,Rural,Tamil Nadu,Delhi,0.34,0.4,0.61,10,False,0.71,0.25,0.03
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Base,Third Party,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.63,Metro,Maharashtra,Bangalore,0.42,0.77,0.8,12,False,0.73,0.25,0.03
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Base,Personal Accident,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.55,Rural,Delhi,Mumbai,0.55,0.78,0.33,12,False,0.53,0.25,0.03
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Addon,Zero Depreciation,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.3,Rural,Gujarat,Delhi,0.6,0.73,0.53,11,False,0.78,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Addon,Engine Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.58,Urban,Delhi,Ahmedabad,0.62,0.36,0.32,11,False,0.66,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Addon,Gearbox Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.27,Metro,Maharashtra,Delhi,0.76,0.58,0.42,11,False,0.77,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Addon,Consumables,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.5,Rural,Karnataka,Chennai,0.47,0.66,0.75,12,False,0.74,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Addon,Tyre Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.46,Metro,Tamil Nadu,Ahmedabad,0.71,0.24,0.63,10,False,0.52,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Addon,Roadside Assistance,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.37,Urban,Karnataka,Bangalore,0.88,0.44,0.88,12,False,0.78,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Addon,NCB Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.55,Metro,Gujarat,Delhi,0.42,0.21,0.76,14,False,0.54,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Addon,Return to Invoice,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.44,Urban,Maharashtra,Ahmedabad,0.53,0.66,0.48,9,False,0.8,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Addon,Invoice Cover,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.26,Rural,Karnataka,Ahmedabad,0.31,0.33,0.65,8,False,0.77,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Addon,PAYD Benefit,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.35,Metro,Delhi,Ahmedabad,0.81,0.25,0.42,12,False,0.67,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Addon,EV Addon,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.41,Rural,Tamil Nadu,Chennai,0.52,0.77,0.74,14,False,0.77,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Addon,EMI Protector,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.6,Rural,Tamil Nadu,Mumbai,0.31,0.24,0.79,14,False,0.64,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Addon,Loss of Use,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.5,Metro,Maharashtra,Delhi,0.4,0.25,0.85,13,False,0.58,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Addon,Key Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.46,Urban,Delhi,Delhi,0.52,0.25,0.77,13,False,0.52,0.25,0.08
ACKO,Motor,Motor Trade Internal Risk,Long Term Package,Annual,Addon,Personal Belongings,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.29,Metro,Maharashtra,Bangalore,0.62,0.4,0.89,10,False,0.5,0.25,0.08
GoDigit,Motor,Private Car,Package,Annual,Base,Own Damage,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.22,Rural,Tamil Nadu,Bangalore,0.76,0.33,0.4,7,False,0.62,0.25,0.03
GoDigit,Motor,Private Car,Package,Annual,Base,Third Party,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.57,Metro,Delhi,Mumbai,0.67,0.39,0.52,10,False,0.78,0.25,0.03
GoDigit,Motor,Private Car,Package,Annual,Base,Personal Accident,Accident / Liability,Policy Defined Event,Medium,Medium,35000,300000,Yes,Yes,Yes,Medium,Low,Medium,Claim Form|FIR|Photos,Policy Breach,Balanced,0.15,0.9,5250.0,1.08,0.52,Rural,Delhi,Ahmedabad,0.89,0.78,0.69,7,False,0.52,0.25,0.03
GoDigit,Motor,Private Car,Package,Annual,Addon,Zero Depreciation,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.31,Metro,Maharashtra,Ahmedabad,0.84,0.53,0.44,11,False,0.57,0.25,0.08
GoDigit,Motor,Private Car,Package,Annual,Addon,Engine Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.67,Urban,Delhi,Mumbai,0.84,0.57,0.53,13,False,0.6,0.25,0.08
GoDigit,Motor,Private Car,Package,Annual,Addon,Gearbox Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.21,Metro,Gujarat,Delhi,0.3,0.24,0.39,12,False,0.78,0.25,0.08
GoDigit,Motor,Private Car,Package,Annual,Addon,Consumables,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.53,Metro,Tamil Nadu,Chennai,0.55,0.3,0.85,8,False,0.52,0.25,0.08
GoDigit,Motor,Private Car,Package,Annual,Addon,Tyre Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.67,Rural,Delhi,Mumbai,0.3,0.22,0.48,10,False,0.57,0.25,0.08
GoDigit,Motor,Private Car,Package,Annual,Addon,Roadside Assistance,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.41,Metro,Tamil Nadu,Bangalore,0.5,0.61,0.34,12,False,0.58,0.25,0.08
GoDigit,Motor,Private Car,Package,Annual,Addon,NCB Protect,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.64,Rural,Gujarat,Mumbai,0.75,0.29,0.86,13,False,0.82,0.25,0.08
GoDigit,Motor,Private Car,Package,Annual,Addon,Return to Invoice,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.53,Urban,Karnataka,Bangalore,0.9,0.47,0.86,8,False,0.69,0.25,0.08
GoDigit,Motor,Private Car,Package,Annual,Addon,Invoice Cover,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.39,Metro,Maharashtra,Chennai,0.83,0.6,0.87,14,False,0.83,0.25,0.08
GoDigit,Motor,Private Car,Package,Annual,Addon,PAYD Benefit,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.59,Rural,Karnataka,Ahmedabad,0.41,0.31,0.71,10,False,0.76,0.25,0.08
GoDigit,Motor,Private Car,Package,Annual,Addon,EV Addon,Addon Claim,Addon Trigger,Low,High,60000,800000,Yes,No,Yes,Medium,Medium,High,Invoice|Survey Report,Addon Conditions Not Met,Loss Heavy,0.05,0.9,3000.0,1.08,0.22,Urban,Karnataka,Ahmedabad,0.33,0.78,0.77,14,False,0.67,0.25,0.08
